training_loss,epoch,step,n_crashes,avg_total_reward,avg_distance,avg_steps_to_crash,std_total_reward,std_distance,std_steps_to_crash
0.8312897086143494,1,49,,,,,,,
1.306260108947754,3,99,,,,,,,
0.6724612712860107,4,149,,,,,,,
,4,149,11.0,19.42843246459961,488.97216796875,12.090909004211426,10.244739532470703,226.71331787109375,5.869095325469971
0.6030442714691162,6,199,,,,,,,
0.6843686699867249,8,249,,,,,,,
0.5777857899665833,9,299,,,,,,,
,9,299,4.0,24.755556106567383,533.0723876953125,6.0,10.158458709716797,204.19631958007812,5.196152210235596
0.6552352905273438,11,349,,,,,,,
0.6353939771652222,13,399,,,,,,,
0.6026747822761536,14,449,,,,,,,
,14,449,8.0,20.433658599853516,447.54852294921875,8.0,11.358536720275879,221.47352600097656,4.27200174331665
0.9371823072433472,16,499,,,,,,,
0.656075119972229,18,549,,,,,,,
0.8044283986091614,19,599,,,,,,,
,19,599,18.0,14.907516479492188,395.30792236328125,14.38888931274414,7.992093086242676,199.29624938964844,6.7176289558410645
0.5631816983222961,21,649,,,,,,,
0.5558926463127136,23,699,,,,,,,
0.616039514541626,24,749,,,,,,,
,24,749,16.0,12.828756332397461,345.9020080566406,9.5625,9.683226585388184,217.56455993652344,5.036972522735596
0.6423693895339966,26,799,,,,,,,
0.6242133378982544,28,849,,,,,,,
0.5608768463134766,29,899,,,,,,,
,29,899,2.0,27.419281005859375,627.0064086914062,9.0,6.498973369598389,136.9341278076172,1.0
0.5301947593688965,31,949,,,,,,,
0.5466533303260803,33,999,,,,,,,
0.4612501859664917,34,1049,,,,,,,
,34,1049,9.0,21.807842254638672,550.4990234375,13.222222328186035,9.65737247467041,210.1255340576172,6.196374893188477
0.4924790859222412,36,1099,,,,,,,
0.5379554629325867,38,1149,,,,,,,
0.4968235492706299,39,1199,,,,,,,
,39,1199,14.0,17.252613067626953,468.2679748535156,13.0,10.618282318115234,265.9635925292969,8.124038696289062
0.45483678579330444,41,1249,,,,,,,
0.5042882561683655,43,1299,,,,,,,
0.5631670951843262,44,1349,,,,,,,
,44,1349,15.0,15.866010665893555,399.8123474121094,12.199999809265137,10.904104232788086,248.0055389404297,8.368193626403809
0.40086668729782104,46,1399,,,,,,,
0.4821373522281647,48,1449,,,,,,,
0.432800829410553,49,1499,,,,,,,
,49,1499,15.0,19.513399124145508,502.7911682128906,17.399999618530273,8.080931663513184,190.3330078125,6.611102104187012
0.4262133836746216,51,1549,,,,,,,
0.41572871804237366,53,1599,,,,,,,
0.36790764331817627,54,1649,,,,,,,
,54,1649,0.0,29.823205947875977,623.1533203125,0.0,0.17360877990722656,19.697181701660156,0.0
0.3852587044239044,56,1699,,,,,,,
0.33617186546325684,58,1749,,,,,,,
0.36855632066726685,59,1799,,,,,,,
,59,1799,7.0,24.831371307373047,623.9151611328125,17.14285659790039,6.940931797027588,159.12901306152344,4.189393997192383
0.31988418102264404,61,1849,,,,,,,
0.33782386779785156,63,1899,,,,,,,
0.25001057982444763,64,1949,,,,,,,
,64,1949,6.0,23.637256622314453,573.8896484375,10.666666984558105,9.492774963378906,201.11859130859375,4.307615756988525
0.2818109393119812,66,1999,,,,,,,
0.21984902024269104,68,2049,,,,,,,
0.3045291006565094,69,2099,,,,,,,
,69,2099,9.0,20.114051818847656,459.77447509765625,9.222222328186035,11.42424488067627,228.26295471191406,5.553333282470703
0.29129740595817566,71,2149,,,,,,,
0.2482949197292328,73,2199,,,,,,,
0.2588249742984772,74,2249,,,,,,,
,74,2249,8.0,22.39706039428711,568.0721435546875,12.5,10.698318481445312,252.4089813232422,9.32737922668457
0.2132987380027771,76,2299,,,,,,,
0.2673066258430481,78,2349,,,,,,,
0.22674869000911713,79,2399,,,,,,,
,79,2399,4.0,27.365032196044922,654.2861328125,19.5,5.591988563537598,122.0766372680664,7.36545991897583
0.19220612943172455,81,2449,,,,,,,
0.42253270745277405,83,2499,,,,,,,
0.7467618584632874,84,2549,,,,,,,
,84,2549,2.0,26.81928062438965,555.9695434570312,4.5,7.8298659324646,154.93923950195312,2.5
2.395740509033203,86,2599,,,,,,,
0.7081982493400574,88,2649,,,,,,,
1.7260453701019287,89,2699,,,,,,,
,89,2699,1.0,28.314706802368164,584.6529541015625,3.0,6.037836074829102,119.33672332763672,0.0
0.5439786911010742,91,2749,,,,,,,
0.5120011568069458,93,2799,,,,,,,
0.5233713388442993,94,2849,,,,,,,
,94,2849,1.0,28.547710418701172,604.02099609375,6.0,5.427958011627197,108.4466552734375,0.0
0.3895470201969147,96,2899,,,,,,,
0.38739049434661865,98,2949,,,,,,,
0.3362795412540436,99,2999,,,,,,,
,99,2999,1.0,29.46176528930664,629.769287109375,25.0,1.2726603746414185,38.12610626220703,0.0
0.3728427290916443,101,3049,,,,,,,
0.39469367265701294,103,3099,,,,,,,
0.32180899381637573,104,3149,,,,,,,
,104,3149,3.0,26.893789291381836,599.0809326171875,11.666666984558105,7.218137741088867,142.42416381835938,6.018490314483643
0.36547017097473145,106,3199,,,,,,,
0.29110488295555115,108,3249,,,,,,,
0.29647335410118103,109,3299,,,,,,,
,109,3299,3.0,27.970260620117188,653.8125610351562,19.66666603088379,4.168465614318848,94.07540130615234,3.0912060737609863
0.31815022230148315,111,3349,,,,,,,
0.28835874795913696,113,3399,,,,,,,
0.28320199251174927,114,3449,,,,,,,
,114,3449,7.0,24.299346923828125,598.0709228515625,15.285714149475098,8.568839073181152,192.17031860351562,7.381720542907715
0.2570840120315552,116,3499,,,,,,,
0.28826308250427246,118,3549,,,,,,,
0.31384310126304626,119,3599,,,,,,,
,119,3599,3.0,26.65457534790039,670.6314697265625,10.333333015441895,7.414931774139404,177.9051055908203,3.399346351623535
0.34490323066711426,121,3649,,,,,,,
0.44500553607940674,123,3699,,,,,,,
0.29745280742645264,124,3749,,,,,,,
,124,3749,8.0,21.671567916870117,540.4281005859375,10.75,10.416850090026855,233.28579711914062,5.651327133178711
0.24099841713905334,126,3799,,,,,,,
0.2729961574077606,128,3849,,,,,,,
0.23304694890975952,129,3899,,,,,,,
,129,3899,2.0,28.185619354248047,656.5074462890625,15.0,5.150691032409668,110.04568481445312,6.0
0.27545273303985596,131,3949,,,,,,,
0.18399783968925476,133,3999,,,,,,,
0.24108999967575073,134,4049,,,,,,,
,134,4049,7.0,22.040849685668945,540.499267578125,9.142857551574707,10.65648078918457,240.1330108642578,5.054801940917969
0.2379765808582306,136,4099,,,,,,,
0.3216189742088318,138,4149,,,,,,,
0.39095938205718994,139,4199,,,,,,,
,139,4199,4.0,25.427448272705078,588.1486206054688,9.5,8.816116333007812,184.18251037597656,5.220153331756592
0.2420484870672226,141,4249,,,,,,,
